ipAddress,gender,timestamp,age,education,gisExperience,documentId
"104.28.31.33","mann","2025-04-24T08:20:15.049Z","18-24","master","grunnleggende","0uKQCuL8WhRYI2pWW6ER"
"51.175.176.9","mann","2025-04-24T06:46:09.321Z","25-34","master","grunnleggende","1XxUuZGUOQia8pPFaCUH"
"129.241.236.174","kvinne","2025-04-24T06:42:33.029Z","18-24","master","avansert","1rFjsCSwhVuNNq6cOMxo"
"185.176.244.74","mann","2025-05-10T18:28:12.628Z","45-54","phd","avansert","3rpG70O0vCU386c59pbp"
"85.164.166.31","mann","2025-04-24T07:47:49.722Z","18-24","master","grunnleggende","5JxrjQdilMIJh5wEujAH"
"81.0.157.136","mann","2025-05-05T09:44:24.656Z","55+","bachelor","profesjonell","5XJCeqjVwlkGoUts8ad8"
"128.94.20.113","kvinne","2025-05-13T21:38:46.410Z","35-44","phd","profesjonell","OdJeYmf1EEPK4xG3aNIR"
"84.208.184.34","kvinne","2025-05-12T20:28:27.011Z","55+","phd","ingen","HqYX2FX2ASeFYIY43NyP"
"85.165.226.200","mann","2025-05-05T09:22:12.457Z","45-54","bachelor","middels","AjN9e6q3vwtXSYUx6SpG"
"59.22.77.217","mann","2025-05-04T15:13:54.348Z","18-24","master","grunnleggende","BXPSHtWK6CqXwMsMa095"
"78.156.8.234","kvinne","2025-04-30T16:22:34.190Z","18-24","videregaende","grunnleggende","CfkcI945aka3AIQHWZmr"
"51.13.116.207","mann","2025-05-05T09:37:55.646Z","55+","master","profesjonell","DPthhY8OJoLfeXzGYm3p"
"129.241.236.166","mann","2025-04-30T13:54:23.798Z","18-24","videregaende","middels","Df8aCPb6QiQQGy7KzMg5"
"82.194.204.213","mann","2025-04-27T18:50:04.149Z","18-24","master","profesjonell","EDPYuAIq4DxBYLf3oRw4"
"129.241.236.191","kvinne","2025-05-02T08:56:52.270Z","25-34","master","grunnleggende","EyhEtc33ePe7n0a480qU"
"101.9.247.52","kvinne","2025-04-24T07:28:57.423Z","25-34","master","avansert","FXhOQwyKtvSO6DZpcTHw"
"129.241.236.26","kvinne","2025-04-27T21:28:01.199Z","18-24","bachelor","ingen","HdY9lHHLOh5F3sqeXD06"
"62.16.200.67","mann","2025-04-26T09:55:37.667Z","25-34","videregaende","grunnleggende","JOwfCg26ARsh8eC2sbLR"
"129.241.236.15","mann","2025-04-30T10:38:20.424Z","25-34","master","middels","T6OMUyJb694ZmGOzvHFN"
"188.216.100.236","mann","2025-04-24T08:15:46.095Z","18-24","master","grunnleggende","MXwJF8iJHZSLru4LuE1d"
"84.209.87.154","mann","2025-04-25T13:13:21.840Z","18-24","master","middels","O0BUv1LJ5EGPLdeLDPOo"
"129.241.236.182","mann","2025-04-24T07:24:35.616Z","18-24","master","middels","OZvJasJc8uINSQ75bnu1"
"85.19.221.50","mann","2025-05-05T09:12:03.180Z","35-44","master","profesjonell","QHvV1k2QjkVbAVfZOIW8"
"129.241.236.6","mann","2025-04-30T09:23:17.309Z","18-24","videregaende","avansert","RfDTOpqwLn7nd4SfTacI"
"81.167.240.7","mann","2025-04-24T11:20:48.527Z","18-24","bachelor","middels","SaWmYoQpaRljV8e0876D"
"178.164.31.98","kvinne","2025-05-13T11:10:45.455Z","45-54","master","profesjonell","TF6vuW8eEDU0R0Utzqhq"
"62.97.234.194","kvinne","2025-05-14T10:43:23.336Z","45-54","master","avansert","TvEWilky7AL2Uhmw9wp0"
