documentId,ipAddress,timestamp,bulkId,questionId,legendType,selectedAnswer,correctAnswer,isCorrect,timeSpentSeconds,legendInteractionCount,zoomCount,panCount,clickCount,initialZoom,finalZoom,totalInteractions
"0AD9sgDQgEuaN4A6UPSD","46.15.44.237","2025-05-06T06:16:35.210Z","3","9","interactive","Mindre tiltak meldt","Mindre tiltak fullført","0","45","0","7","8","0","13","18","15"
"0HYHd50rtgLy9Xt6V8Xw","104.28.31.33","2025-04-24T08:33:57.027Z","3","9","gaze-adaptive","Mindre tiltak fullført","Mindre tiltak fullført","1","28","7","4","7","2","13","17","20"
"0TEG6rG273HzPvUhSb3I","104.28.31.33","2025-04-24T08:32:40.446Z","2","6","shopping-basket","Liten bygning","Liten bygning","1","37","9","7","13","11","12","18","40"
"0bnxWENgNZDbh4Dr1g4c","104.28.31.33","2025-04-24T08:32:02.849Z","2","5","shopping-basket","Høy nøyaktighet","Svært høy nøyaktighet","0","40","3","10","15","5","12","18","33"
"0g00ssgo94Zi5yrfrYtC","185.71.211.104","2025-04-25T21:33:39.187Z","3","8","gaze-adaptive","Under bygging","Mindre tiltak meldt","0","14","4","3","4","1","13","16","12"
"0hUOzo02l3OIB18IeCC7","85.164.166.31","2025-04-24T07:58:08.228Z","3","7","shopping-basket","Middels trafikkmengde","Middels trafikkmengde","1","43","3","4","9","7","13","16","23"
"0nGd7dCnesQchDZMqyjb","129.241.236.182","2025-04-24T07:31:13.818Z","3","9","interactive","Mindre tiltak meldt","Mindre tiltak fullført","0","29","0","7","8","1","13","16","16"
"0pQcClX7m2BkGUvx8cyM","158.38.1.167","2025-05-06T07:18:00.572Z","3","9","shopping-basket","Mindre tiltak fullført","Mindre tiltak fullført","1","27","5","4","4","5","13","15","18"
"0rFRzhe3ERyOr2ReJra0","82.194.204.213","2025-04-27T18:57:10.471Z","3","7","interactive","Middels trafikkmengde","Middels trafikkmengde","1","69","0","27","35","1","13","15","63"
"149FY336k4JP7s1NyXcu","129.241.236.230","2025-04-30T12:32:57.671Z","3","8","interactive","Under bygging","Mindre tiltak meldt","0","19","0","6","6","0","13","15","12"
"1ONFabVqCHbE1CzABjkF","85.19.221.50","2025-05-05T09:16:28.498Z","2","6","interactive","Liten bygning","Liten bygning","1","19","0","1","1","0","12","15","2"
